Periode,Stasiun,Max_Level (m),Min_Level (m),KRS,Status,Lag_Time_Jam
2020-01,CIMANUK-RENTANG,5.66,4.5,1.26,Sangat Baik/Normal,20
2020-02,CIMANUK-RENTANG,5.63,4.64,1.21,Sangat Baik/Normal,20
2020-03,CIMANUK-RENTANG,5.62,5.4,1.04,Sangat Baik/Normal,20
2020-04,CIMANUK-RENTANG,5.62,5.36,1.05,Sangat Baik/Normal,20
2020-05,CIMANUK-RENTANG,5.64,5.3,1.06,Sangat Baik/Normal,20
2020-06,CIMANUK-RENTANG,5.68,5.2,1.09,Sangat Baik/Normal,20
2020-07,CIMANUK-RENTANG,5.68,5.16,1.1,Sangat Baik/Normal,20
2020-08,CIMANUK-RENTANG,16.38,5.3,3.09,Sangat Baik/Normal,20
2020-09,CIMANUK-RENTANG,5.7,5.07,1.12,Sangat Baik/Normal,20
2020-10,CIMANUK-RENTANG,5.68,0.1,56.8,Sedang/Mulai Kritis,20
2020-11,CIMANUK-RENTANG,11.47,5.32,2.16,Sangat Baik/Normal,20
2020-12,CIMANUK-RENTANG,5.68,5.18,1.1,Sangat Baik/Normal,20
2021-01,CIMANUK-RENTANG,5.68,5.0,1.14,Sangat Baik/Normal,20
2021-02,CIMANUK-RENTANG,5.66,4.6,1.23,Sangat Baik/Normal,20
2021-03,CIMANUK-RENTANG,5.66,5.26,1.08,Sangat Baik/Normal,20
2021-04,CIMANUK-RENTANG,5.66,5.1,1.11,Sangat Baik/Normal,20
2021-05,CIMANUK-RENTANG,5.66,5.44,1.04,Sangat Baik/Normal,20
2021-06,CIMANUK-RENTANG,5.66,5.04,1.12,Sangat Baik/Normal,20
2021-07,CIMANUK-RENTANG,5.66,5.3,1.07,Sangat Baik/Normal,20
2021-08,CIMANUK-RENTANG,5.66,5.18,1.09,Sangat Baik/Normal,20
2021-09,CIMANUK-RENTANG,5.64,4.98,1.13,Sangat Baik/Normal,20
2021-10,CIMANUK-RENTANG,5.54,0.31,17.87,Sangat Baik/Normal,20
2021-11,CIMANUK-RENTANG,5.64,2.09,2.7,Sangat Baik/Normal,20
2021-12,CIMANUK-RENTANG,5.2,4.98,1.04,Sangat Baik/Normal,20
2022-01,CIMANUK-RENTANG,5.2,4.98,1.04,Sangat Baik/Normal,20
2022-02,CIMANUK-RENTANG,5.2,5.0,1.04,Sangat Baik/Normal,20
2022-03,CIMANUK-RENTANG,5.2,4.96,1.05,Sangat Baik/Normal,20
2022-04,CIMANUK-RENTANG,5.18,4.89,1.06,Sangat Baik/Normal,20
2022-05,CIMANUK-RENTANG,5.2,5.0,1.04,Sangat Baik/Normal,20
2022-06,CIMANUK-RENTANG,5.3,5.0,1.06,Sangat Baik/Normal,20
2022-07,CIMANUK-RENTANG,5.32,5.1,1.04,Sangat Baik/Normal,20
2022-08,CIMANUK-RENTANG,5.34,5.18,1.03,Sangat Baik/Normal,20
2022-09,CIMANUK-RENTANG,5.36,5.02,1.07,Sangat Baik/Normal,20
2022-10,CIMANUK-RENTANG,5.34,2.1,2.54,Sangat Baik/Normal,20
2022-11,CIMANUK-RENTANG,5.18,2.53,2.05,Sangat Baik/Normal,20
2022-12,CIMANUK-RENTANG,5.3,4.98,1.06,Sangat Baik/Normal,20
2023-01,CIMANUK-RENTANG,5.4,5.06,1.07,Sangat Baik/Normal,20
2023-02,CIMANUK-RENTANG,5.36,5.0,1.07,Sangat Baik/Normal,20
2023-03,CIMANUK-RENTANG,5.38,4.98,1.08,Sangat Baik/Normal,20
2023-04,CIMANUK-RENTANG,5.34,4.2,1.27,Sangat Baik/Normal,20
2023-05,CIMANUK-RENTANG,5.5,5.1,1.08,Sangat Baik/Normal,20
2023-06,CIMANUK-RENTANG,5.64,5.0,1.13,Sangat Baik/Normal,20
2023-07,CIMANUK-RENTANG,5.64,5.04,1.12,Sangat Baik/Normal,20
2023-08,CIMANUK-RENTANG,5.62,5.05,1.11,Sangat Baik/Normal,20
2023-09,CIMANUK-RENTANG,5.63,4.75,1.19,Sangat Baik/Normal,20
2023-10,CIMANUK-RENTANG,5.68,4.24,1.34,Sangat Baik/Normal,20
2023-11,CIMANUK-RENTANG,4.34,0.2,21.7,Sangat Baik/Normal,20
2023-12,CIMANUK-RENTANG,5.68,2.42,2.35,Sangat Baik/Normal,20
2024-01,CIMANUK-RENTANG,5.74,4.72,1.22,Sangat Baik/Normal,20
2024-02,CIMANUK-RENTANG,5.76,5.16,1.12,Sangat Baik/Normal,20
2024-03,CIMANUK-RENTANG,5.8,5.12,1.13,Sangat Baik/Normal,20
2024-04,CIMANUK-RENTANG,5.88,4.88,1.2,Sangat Baik/Normal,20
2024-05,CIMANUK-RENTANG,5.82,5.3,1.1,Sangat Baik/Normal,20
2024-06,CIMANUK-RENTANG,5.82,5.08,1.15,Sangat Baik/Normal,20
2024-07,CIMANUK-RENTANG,5.84,5.12,1.14,Sangat Baik/Normal,20
2024-08,CIMANUK-RENTANG,5.8,5.07,1.14,Sangat Baik/Normal,20
2024-09,CIMANUK-RENTANG,5.77,5.21,1.11,Sangat Baik/Normal,20
2024-10,CIMANUK-RENTANG,5.8,4.7,1.23,Sangat Baik/Normal,20
2024-11,CIMANUK-RENTANG,5.87,4.88,1.2,Sangat Baik/Normal,20
2024-12,CIMANUK-RENTANG,5.82,5.25,1.11,Sangat Baik/Normal,20
2025-01,CIMANUK-RENTANG,5.88,5.48,1.07,Sangat Baik/Normal,20
2025-02,CIMANUK-RENTANG,6.76,5.0,1.35,Sangat Baik/Normal,20
2025-03,CIMANUK-RENTANG,6.1,5.0,1.22,Sangat Baik/Normal,20
2025-04,CIMANUK-RENTANG,6.0,4.86,1.23,Sangat Baik/Normal,20
2025-05,CIMANUK-RENTANG,5.97,4.9,1.22,Sangat Baik/Normal,20
2025-06,CIMANUK-RENTANG,5.92,1.15,5.15,Sangat Baik/Normal,20
2025-07,CIMANUK-RENTANG,5.94,5.28,1.12,Sangat Baik/Normal,20
2025-08,CIMANUK-RENTANG,6.02,5.33,1.13,Sangat Baik/Normal,20
2025-09,CIMANUK-RENTANG,5.96,5.75,1.04,Sangat Baik/Normal,20
2025-10,CIMANUK-RENTANG,6.29,5.02,1.25,Sangat Baik/Normal,20
2025-11,CIMANUK-RENTANG,7.7,3.62,2.13,Sangat Baik/Normal,20
2025-12,CIMANUK-RENTANG,9.68,3.34,2.9,Sangat Baik/Normal,20
2026-01,CIMANUK-RENTANG,5.9,4.98,1.18,Sangat Baik/Normal,20
2026-02,CIMANUK-RENTANG,5.94,5.05,1.18,Sangat Baik/Normal,20
2026-03,CIMANUK-RENTANG,5.96,4.4,1.35,Sangat Baik/Normal,20
