NAMA_DAS,NAMA_WS,PROVINSI,LUAS_DAS_KM2
BABAKAN,CIMANUK-CISANGGARUNG,JAWA BARAT,13900.5
CANGGAH,CIMANUK-CISANGGARUNG,JAWA BARAT,2765.0
CIBERES,CIMANUK-CISANGGARUNG,JAWA BARAT,11874.3
CIBOGO,CIMANUK-CISANGGARUNG,JAWA BARAT,3825.3
CIBUAYA,CIMANUK-CISANGGARUNG,JAWA BARAT,47080.1
CIKALAPU,CIMANUK-CISANGGARUNG,JAWA BARAT,14657.1
CIKANCI,CIMANUK-CISANGGARUNG,JAWA BARAT,1338.9
CIMANUK,CIMANUK-CISANGGARUNG,JAWA BARAT,373322.2
CIMANUK,CIWULAN-CILAKI,JAWA BARAT,438.8
CIPAGER,CIMANUK-CISANGGARUNG,JAWA BARAT,6756.8
CISANGGARUNG,CIMANUK-CISANGGARUNG,JAWA BARAT,99596.7
CIWARINGIN,CIMANUK-CISANGGARUNG,JAWA BARAT,21661.5
GRENJENG,CIMANUK-CISANGGARUNG,JAWA BARAT,4979.6
JATIROKE,CIMANUK-CISANGGARUNG,JAWA BARAT,10849.6
KABUYUTAN,CIMANUK-CISANGGARUNG,JAWA BARAT,18102.2
KALIANYAR,CIMANUK-CISANGGARUNG,JAWA BARAT,11525.7
KALIBANGKA,CIMANUK-CISANGGARUNG,JAWA BARAT,10898.8
KALICILET,CIMANUK-CISANGGARUNG,JAWA BARAT,41441.5
KALIJAGA,CIMANUK-CISANGGARUNG,JAWA BARAT,4188.0
KALIWEDI,CIMANUK-CISANGGARUNG,JAWA BARAT,24371.1
KARANGANYAR,CIMANUK-CISANGGARUNG,JAWA BARAT,9446.8
KEDUNGPANE,CIMANUK-CISANGGARUNG,JAWA BARAT,3660.2
KENARI,CIMANUK-CISANGGARUNG,JAWA BARAT,5809.9
KLUWUT,CIMANUK-CISANGGARUNG,JAWA BARAT,8982.0
PASIRANGIN,CIMANUK-CISANGGARUNG,JAWA BARAT,6653.3
TANJUNG,CIMANUK-CISANGGARUNG,JAWA BARAT,11715.8
